target,architecture,alpha,train_fraction,mean_n_training_structures,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_epochs,sd_epochs,se_epochs,mean_fit_seconds,sd_fit_seconds,se_fit_seconds
target_fodft_coupling_abs_ev,128-64-32,0.01,0.25,438.2,-30.632389575326027,70.20428272753388,31.396309698076017,0.08655557797981199,0.061509072862168064,0.027507693630559066,0.6406336695243725,1.2025708546369167,0.5378060357456328,76.8,34.62224718298915,15.483539646992867,5.89398135736119,2.212254269902331,0.9893501862031557
target_fodft_coupling_abs_ev,128-64-32,0.01,0.5,877.2,0.9101483492826251,0.011992489754503887,0.00536320446210809,0.046345923350916904,0.0029351074184640266,0.0013126199417898968,0.06582457902740546,0.004788025581456188,0.002141270135628799,156.0,61.0,27.280029325497434,26.39822642537765,7.728836749932894,3.4564408719696984
target_fodft_coupling_abs_ev,128-64-32,0.01,0.75,1316.2,0.8961209321730751,0.0590476091195032,0.02640689358000913,0.04858806050991672,0.011224958684653953,0.005019954132702573,0.06912204396315139,0.017915295630516033,0.008011963773367761,117.6,57.160300908935035,25.56286368934435,24.86452923999168,8.475235304117374,3.7902404530625105
target_fodft_coupling_abs_ev,128-64-32,0.01,1.0,1755.2,0.9336359133477373,0.007604821597593069,0.0034009796097953307,0.04072479184607796,0.002398918799996618,0.0010728291018589318,0.056598755882983486,0.0035396148963239334,0.0015829639044702372,139.0,29.512709126747414,13.198484761517134,28.28520004481543,4.589753740984665,2.0526002729651345
target_frontier_gap_ev,128-64-32,0.01,0.25,438.2,0.6555394839419058,0.5474745022863724,0.24483804061203854,0.06854904339110285,0.007300757318651829,0.003264997930346916,0.17470613151997788,0.13806955371018922,0.06174658154380828,108.6,31.86377253245447,14.249912280431763,10.617324485979044,3.928241079505933,1.7567628171564842
target_frontier_gap_ev,128-64-32,0.01,0.5,877.2,0.9438890837921372,0.03282945028930124,0.01468177650216554,0.054395535622903654,0.003986224160432329,0.0017826936392557429,0.08400048416981301,0.02227756133872404,0.009962828305261634,101.2,22.185580902919806,9.92169340384997,20.877816809387877,3.4753604010686807,1.5542284206201005
target_frontier_gap_ev,128-64-32,0.01,0.75,1316.2,0.9637495005487866,0.005675876395861434,0.002538329090606534,0.04749886609138124,0.0016052581244701272,0.0007178932575498046,0.06926319638155795,0.005554449258828537,0.0024840252240627865,142.8,30.84153044192198,13.792751719653333,27.622305832593703,2.6604530087322336,1.1897907556938232
target_frontier_gap_ev,128-64-32,0.01,1.0,1755.2,0.9699832690053727,0.004406182498089904,0.0019705047173997725,0.0449773643659809,0.0014151861621234003,0.0006328904918649922,0.06299632499926597,0.004266951465929961,0.001908238706902354,123.8,21.17073451725282,9.4678403028357,19.701621290203185,2.552698419477989,1.1416014384018114
target_interaction_energy_kcal_mol,128-64-32,0.01,0.25,438.2,-1.6249845023629792,5.574209951998512,2.492862474704902,1.3798761456155055,0.40738110669590955,0.1821863694642297,4.818180822133,6.8197684698150605,3.049893177863239,106.2,25.508822003377578,11.407892005098926,8.386671676998958,3.208454453726671,1.434864452248958
target_interaction_energy_kcal_mol,128-64-32,0.01,0.5,877.2,0.9050021136819761,0.010225978640530793,0.004573196675337548,1.0459445328491315,0.056867168643086545,0.025431770954777198,1.5002661656020417,0.08863469272798732,0.03963863962091718,114.2,66.08857692521454,29.55571010820075,19.6603634248022,7.5753913212673725,3.3878179901031586
target_interaction_energy_kcal_mol,128-64-32,0.01,0.75,1316.2,0.9300305787666885,0.012911022835644657,0.005773984943910709,0.8989324298055831,0.04184965879647472,0.0187157363808179,1.2840535052274509,0.1028288059213698,0.045986440017063146,127.4,36.7464283978729,16.433502365594496,24.78211067200173,2.538951620279853,1.135453682905797
target_interaction_energy_kcal_mol,128-64-32,0.01,1.0,1755.2,0.9339156540819505,0.011087742996187479,0.0049585894113044785,0.8582256932021851,0.0256357377738114,0.011464650463120283,1.2483168807956617,0.0874396997996405,0.03910422253683418,159.4,15.725775020646836,7.032780389006897,25.024153735232538,3.2910053863207587,1.4717823516262345
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.25,438.2,-48.52499157729305,110.30166637300572,49.32840480830869,1.8832557470592,1.5882356992841655,0.7102805975782616,17.361276034560667,33.8660950211663,15.145378119959005,87.8,34.62224718298915,15.483539646992867,8.49925156419631,3.6155258721163803,1.6169123248922874
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.5,877.2,0.8707078394008281,0.13147028062984167,0.058795296901859966,0.8062354445421791,0.0828746812140784,0.03706268416166082,1.666077902101738,0.7441920364931872,0.3328127963825541,113.8,14.166862743741115,6.335613624582863,19.628709826432168,2.5227168991882825,1.1281932949144966
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.75,1316.2,0.9016978359973911,0.0747842069622884,0.03344451408221798,0.8673630631378849,0.31813676793931006,0.1422750878508746,1.5178119356959574,0.5616033113013049,0.2511566360917387,104.4,48.428297512921105,21.657793054695116,21.867931594210678,6.852049131646826,3.0643295287061414
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,1.0,1755.2,0.9509880791608193,0.011691464558810758,0.005228581902006088,0.6249732253700329,0.04899121000403908,0.021909535173799826,1.1080235044440379,0.13736002811444267,0.06142927205103521,175.2,71.56605340522837,32.00531205909419,28.481780009833166,7.707577872231026,3.4469336128363524
