task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
4,44,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1797576078932992,0.32447811283505135,0.40295452827909956
4,45,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.179166797274098,0.3203550448109965,0.39315057689992705
4,46,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.07407221529009345,0.3027575975300688,0.3671859518766765
4,47,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10514594280869316,0.3209578676587304,0.38988877883660855
4,48,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.11323174109161149,0.3139483251804123,0.376796001149309
4,49,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1677550962121166,0.3261991684437898,0.394153707803912
4,50,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.2746599561427885,0.3268522923281787,0.40166789551795484
4,51,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10062269683734404,0.3228231570189002,0.3886393549907539
4,52,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.08407292992720095,0.3189210341666669,0.39005827679613747
4,53,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10803977962559963,0.29877755642611664,0.374555067448961
4,54,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.14229283985922492,0.3065221777348225,0.37476083925352477
4,55,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.22115973609798356,0.3306532262800689,0.40261351068795387
4,56,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1444168652058273,0.33237063806701017,0.4029168728933418
4,57,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.11572649470672958,0.3127504559106528,0.37543969292862756
4,58,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1910284752760465,0.31142111595360855,0.38425513387049587
4,59,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.15835753005947528,0.30368086670532657,0.37226859057989486
4,60,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10695669340339808,0.3427507578632793,0.4164307732428936
4,61,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1657905290918078,0.30063069667525777,0.37890543567913687
4,62,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.11828561942880711,0.31766772894084433,0.39566499084238355
4,63,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.16160991828402516,0.3184000530412368,0.38696294062335734
4,64,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1592318561765078,0.3350151954712813,0.4060980257237809
4,65,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1257263579560659,0.3027503383861073,0.37044634336763727
4,66,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.19069783517520666,0.3101920659278353,0.3830842746558212
4,67,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.12157243812441476,0.31838820022766295,0.3805094186163049
4,68,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.06004191567502537,0.30453177383161534,0.3707431566262149
4,69,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.11778397550779673,0.3126323994685814,0.3850513492510603
4,70,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.12802811511289613,0.3207920339432989,0.3838489978797238
4,71,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.12891866063260737,0.31215139445058077,0.3812883612202792
4,72,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.07581824701781059,0.30186364736254306,0.3762733509218386
4,73,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.15328781866810193,0.3021352699828178,0.3798300213945914
4,74,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.13677358300327414,0.3238742087064314,0.3986020428177042
4,75,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.13950646338917605,0.313237676161635,0.3844138577269227
4,76,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.2199815406013106,0.32329041575969575,0.39118107358535253
