task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
7,35,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.011963333690351075,3.2295161647382304,4.8053380922274105
7,36,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.016449640914680153,2.9424161314829425,4.256272065729262
7,37,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.02853284114998944,3.3136975528471875,5.132502058319337
7,38,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03738841151145311,3.3192406474441487,5.062240290725429
7,39,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.014629411286567251,3.7923735423512555,6.421526459762715
7,40,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.017247356744283904,3.16230235751169,4.719918730731856
7,41,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.04496756921841549,3.1971602018246745,4.658163507568912
7,42,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.014611700536077299,3.280715124827172,5.1419121140114274
7,43,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.009872613514065653,3.3386939980617703,6.0028933795712
7,44,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.019017505997576567,3.1563592009117762,5.191203694607224
7,45,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.02397330440678136,3.2259316413688124,4.863268972752135
7,46,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.015969689796861974,3.2312751043547276,5.349777528789252
7,47,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.011854893225070828,3.277969324573975,5.221823086082174
7,48,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.02423292427609902,3.099823986588037,4.956917897516092
7,49,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.003877219080430816,3.4400459338198215,5.571332989544214
7,50,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.019936781054966657,3.3596474870035067,4.997540139098049
7,51,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.029983987956960778,3.2540555545843985,4.736129665079646
7,52,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.0012954776502596133,3.457895257574526,5.422808548358163
7,53,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.007522566275540488,3.4169628455169927,5.569262081972724
7,54,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.036916593842366785,3.2082860793125985,4.306593827505205
7,55,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.0132546263426776,3.4169387206980906,4.962826440585687
7,56,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.032681547934367394,3.0556293352076267,5.0372111081531745
7,57,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.006286145813465982,3.21102741358605,5.006006065524697
7,58,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.023374867638710217,3.1991349488307343,4.81290959252493
7,59,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.008480231350896927,3.28148922513117,4.629351908498307
7,60,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.017411255465871633,3.6212797493491533,5.946672940962251
7,61,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.023533876599724834,3.2929981396445096,5.657468049348326
7,62,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.014118904798969822,3.278358285102016,5.832180938006019
7,63,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.015467012728437757,2.9255710216990036,4.271789441352906
