target,group,members,grouped_importance_mean,grouped_importance_std,sum_of_individual
target_fodft_coupling_abs_ev,contact_count_block,n_interfragment_c_contacts_3p4|n_interfragment_c_contacts_3p6|n_interfragment_c_contacts_4p0,0.2402358984028525,0.025753838232649855,0.16120816026941728
target_frontier_gap_ev,contact_count_block,n_interfragment_c_contacts_3p4|n_interfragment_c_contacts_3p6|n_interfragment_c_contacts_4p0,0.058231072982335354,0.008228207088883936,0.02911820469302536
target_interaction_energy_kcal_mol,contact_count_block,n_interfragment_c_contacts_3p4|n_interfragment_c_contacts_3p6|n_interfragment_c_contacts_4p0,0.11594125585102287,0.005451226320917461,0.08861693718730544
target_somo_somo_elst_corrected_signed_kcal_mol,contact_count_block,n_interfragment_c_contacts_3p4|n_interfragment_c_contacts_3p6|n_interfragment_c_contacts_4p0,0.2342830603784992,0.026990060199254366,0.17978417136281893
