system,n,mean,median,q25,q75,p05,p95,min,max
phenalenyl,252,3.20983,3.10931,2.9716,3.35329,2.85869,3.80987,2.73183,4.6064
olympicenyl,532,3.18401,3.13179,3.03918,3.23431,2.92778,3.66971,2.80441,5.80564
fluorenyl,367,3.51598,3.3881,3.06675,3.83547,2.85465,4.55657,2.73997,6.94809
CPBP,793,3.13423,3.11964,3.06416,3.18095,2.96341,3.24445,2.91342,4.74396
phenalenyl_olympicenyl,638,3.33825,3.22454,3.02087,3.42716,2.9087,3.97259,2.72606,7.86063
