system,n,mean,median,q25,q75,p05,p95,min,max
phenalenyl,252,0.49991,0.5407,0.33287,0.70539,0.0,0.85409,0.0,0.9976
olympicenyl,532,0.54683,0.5681,0.43438,0.70123,0.12982,0.83025,0.0,0.87247
fluorenyl,367,0.21396,0.15721,0.0,0.41551,0.0,0.56422,0.0,0.75562
CPBP,793,0.57715,0.5589,0.48373,0.66214,0.39083,0.8099,0.06874,0.99562
phenalenyl_olympicenyl,638,0.50683,0.52999,0.25778,0.73374,0.0,0.96593,0.0,0.9992
