system,n,mean,median,q25,q75,p05,p95,min,max
phenalenyl,252,2.8666,2.78594,2.54558,3.15266,2.31828,3.49246,2.1536,4.45432
olympicenyl,532,2.96875,2.95728,2.76938,3.12471,2.58265,3.42022,2.41684,5.62303
fluorenyl,367,3.19486,3.17487,2.81426,3.50936,2.53126,3.91566,2.31416,6.34765
CPBP,793,3.01687,3.00662,2.94098,3.09328,2.8196,3.17911,2.76408,4.64043
phenalenyl_olympicenyl,638,3.0549,3.06945,2.68419,3.20273,2.48006,3.55814,2.13623,7.41161
