family,model_label,target,target_label,selected_model,n_permutations,real_r2,real_mae,real_rmse,mean_shuffled_r2,std_shuffled_r2,median_shuffled_r2,best_shuffled_r2,worst_shuffled_r2,mean_shuffled_mae,mean_shuffled_rmse,n_shuffled_r2_ge_real,empirical_p_value
extra_trees,Extra Trees,target_fodft_coupling_abs_ev,|t_FO|,extra_trees,500,0.9565113432124314,0.0336075245087705,0.0474891904548688,-0.1315127756027441,0.0442933322704845,-0.12790911403703795,-0.0079403070312797,-0.2847472804953888,0.18199739728472333,0.2347721127295807,0,0.001996007984031936
mlp,Descriptor-based MLP,target_fodft_coupling_abs_ev,|t_FO|,mlp_128_64_32_a1e-4,500,0.9516796398995526,0.0372720048013163,0.0500578105476009,-0.019735717706051568,0.015644314859160777,-0.0178737283050098,0.0181133627483712,-0.106211049734646,0.17440098466671003,0.22296594565732566,0,0.001996007984031936
extra_trees,Extra Trees,target_interaction_energy_kcal_mol,Interaction energy,extra_trees,500,0.9436445253459012,0.8019651618876673,1.1810772587137333,-0.13679794183501315,0.04412610297545651,-0.1378638454289351,0.0089579428553973,-0.2890021976451438,4.338823539650731,5.200471399929276,0,0.001996007984031936
mlp,Descriptor-based MLP,target_interaction_energy_kcal_mol,Interaction energy,mlp_128_64_32_a1e-3,500,0.936229369944297,0.9054806074581592,1.2563788166807448,-0.018811387338801434,0.016348727668607586,-0.0157472807489027,0.0182073589077683,-0.1007275158064127,4.163175584916196,4.9244233540874855,0,0.001996007984031936
extra_trees,Extra Trees,target_frontier_gap_ev,Spin-conserving frontier gap,extra_trees,500,0.9770467475745388,0.0363725716151199,0.0540619876833348,-0.1400548163545314,0.04251623374029158,-0.13838656697566196,-0.0222311904950223,-0.2746599561427885,0.3161577153256841,0.38686051767992413,0,0.001996007984031936
mlp,Descriptor-based MLP,target_frontier_gap_ev,Spin-conserving frontier gap,mlp_64_64_32_16_a1e-4,500,0.9657326377277764,0.0484690077862291,0.0660556895995667,-0.018952954710988183,0.01620089281539954,-0.0176825725302127,0.0185525190779831,-0.116516735291656,0.29627549182261986,0.3658101513726209,0,0.001996007984031936
extra_trees,Extra Trees,target_somo_somo_elst_corrected_signed_kcal_mol,Corrected SOMO–SOMO energy,extra_trees,500,0.9635770392724776,0.5470218944409522,1.018426215347715,-0.12243102778274208,0.05583986464218286,-0.1142226422016938,0.0170986797409204,-0.3729811240628953,3.500654735139096,5.355880142373596,0,0.001996007984031936
mlp,Descriptor-based MLP,target_somo_somo_elst_corrected_signed_kcal_mol,Corrected SOMO–SOMO energy,mlp_128_64_32_a1e-3,500,0.9697556331883298,0.5670816031669434,0.928034658055106,-0.019242176594265633,0.017238416105144847,-0.0167376757299282,0.0290318766187535,-0.117801575772281,3.290392164394123,5.110584505054132,0,0.001996007984031936
