scheme,model_family,target,n,model_r2,system_mean_baseline_r2,improvement_over_baseline,within_system_r2,model_mae,baseline_mae,baseline_definition
five_fold_cv,extra_trees,target_fodft_coupling_abs_ev,2582,0.9410695793984942,0.027449505701413912,0.9136200736970803,0.9391426435437241,0.035422711872298146,0.17028936680643927,leave-one-out system mean
five_fold_cv,extra_trees,target_frontier_gap_ev,2582,0.9769062205965098,0.9081289008653294,0.0687773197311804,0.7473914411465189,0.035974096395928086,0.07275095391317256,leave-one-out system mean
five_fold_cv,extra_trees,target_interaction_energy_kcal_mol,2582,0.9461970677405317,0.6171053477510188,0.3290917199895129,0.8589171281997415,0.7724543506053734,2.3537716913770694,leave-one-out system mean
five_fold_cv,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,2582,0.9590871042625213,0.03332283021008953,0.9257642740524318,0.9574754115675648,0.5194738630295375,3.228693764611318,leave-one-out system mean
five_fold_cv,mlp,target_fodft_coupling_abs_ev,2582,0.9334368221556677,0.027449505701413912,0.9059873164542538,0.9312603066533771,0.040503346936334096,0.17028936680643927,leave-one-out system mean
five_fold_cv,mlp,target_frontier_gap_ev,2582,0.9687945112895348,0.9081289008653294,0.060665610424205374,0.6586624738314646,0.04610821398879045,0.07275095391317256,leave-one-out system mean
five_fold_cv,mlp,target_interaction_energy_kcal_mol,2582,0.9341005850775974,0.6171053477510188,0.31699523732657864,0.8271975463647113,0.8670219896635314,2.3537716913770694,leave-one-out system mean
five_fold_cv,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,2582,0.9576301420345958,0.03332283021008953,0.9243073118245063,0.9559610548351133,0.624786290642653,3.228693764611318,leave-one-out system mean
geometry_clustered,extra_trees,target_fodft_coupling_abs_ev,388,0.8433660377829287,-0.045272044672504785,0.8886380824554335,0.8059029819946066,0.06438884515571222,0.20758836882095835,development-split system mean
geometry_clustered,extra_trees,target_frontier_gap_ev,388,0.9071033472568313,0.8620919209954612,0.04501142626137011,0.14051811455380692,0.06462128303510203,0.08432113446129814,development-split system mean
geometry_clustered,extra_trees,target_interaction_energy_kcal_mol,388,0.8194876275327362,0.5385363358484965,0.2809512916842397,0.5837521227881769,1.3281794806088743,2.4071993677988552,development-split system mean
geometry_clustered,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.8165865559127014,-0.014981161016581979,0.8315677169292833,0.7803670355672999,1.2956229248366757,4.090044644181014,development-split system mean
geometry_clustered,mlp,target_fodft_coupling_abs_ev,388,0.8788879181142107,-0.045272044672504785,0.9241599627867155,0.8499208370539793,0.07040073804678525,0.20758836882095835,development-split system mean
geometry_clustered,mlp,target_frontier_gap_ev,388,0.9195110448511888,0.8620919209954612,0.05741912385572767,0.2553144070739244,0.0689759169225566,0.08432113446129814,development-split system mean
geometry_clustered,mlp,target_interaction_energy_kcal_mol,388,0.8247199821349398,0.5385363358484965,0.2861836462864433,0.5958175367330396,1.362825130352416,2.4071993677988552,development-split system mean
geometry_clustered,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.8899428410779535,-0.014981161016581979,0.9049240020945355,0.8682093333377202,1.2107438213167363,4.090044644181014,development-split system mean
random,extra_trees,target_fodft_coupling_abs_ev,388,0.9565113432124314,-0.0026590025613877355,0.9591703457738191,0.9558948945446363,0.03360752450877052,0.17387996116414958,development-split system mean
random,extra_trees,target_frontier_gap_ev,388,0.9770402731924555,0.9113092874118448,0.06573098578061065,0.7398932199692736,0.036391463427834836,0.07334676953873402,development-split system mean
random,extra_trees,target_interaction_energy_kcal_mol,388,0.9436566838245228,0.5958869409418082,0.34776974288271467,0.8581412193458804,0.8023257998897563,2.4384224879162297,development-split system mean
random,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.9642693524759636,0.006649541851477259,0.9576198106244863,0.9635817893766886,0.5457670867715386,3.443985100179462,development-split system mean
random,mlp,target_fodft_coupling_abs_ev,388,0.9423917953283986,-0.0026590025613877355,0.9450507978897863,0.9415752030570541,0.04091944660643642,0.17387996116414958,development-split system mean
random,mlp,target_frontier_gap_ev,388,0.9713475609111453,0.9113092874118448,0.060038273499300465,0.6754014656228579,0.043928683237342656,0.07334676953873402,development-split system mean
random,mlp,target_interaction_energy_kcal_mol,388,0.9362293699442974,0.5958869409418082,0.34034242900248923,0.8394410475756791,0.9054806074581578,2.4384224879162297,development-split system mean
random,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.9697556331883298,0.006649541851477259,0.9631060913368525,0.96917364231994,0.5670816031669439,3.443985100179462,development-split system mean
train_test_70_15_15,extra_trees,target_fodft_coupling_abs_ev,388,0.9565113432124314,-0.00687069719675959,0.963382040409191,0.9558948945446363,0.033607524508770525,0.17333384342546623,training-split system mean
train_test_70_15_15,extra_trees,target_frontier_gap_ev,388,0.9770467475745387,0.9112811801825242,0.06576556739201445,0.7399665671258168,0.03637257161511993,0.07327732340871368,training-split system mean
train_test_70_15_15,extra_trees,target_interaction_energy_kcal_mol,388,0.9436445253459012,0.594773573918903,0.3488709514269982,0.8581106072508007,0.8019651618876673,2.438957101885724,training-split system mean
train_test_70_15_15,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.9635770392724777,0.003227256654639077,0.9603497826178387,0.9628761540241557,0.5470218944409521,3.3934536764048757,training-split system mean
train_test_70_15_15,mlp,target_fodft_coupling_abs_ev,388,0.9516796398995526,-0.00687069719675959,0.9585503370963122,0.9509947021752903,0.037272004801316365,0.17333384342546623,training-split system mean
train_test_70_15_15,mlp,target_frontier_gap_ev,388,0.9657326377277764,0.9112811801825242,0.05445145754525216,0.6117909705334279,0.04846900778622913,0.07327732340871368,training-split system mean
train_test_70_15_15,mlp,target_interaction_energy_kcal_mol,388,0.936229369944297,0.594773573918903,0.341455796025394,0.839441047575678,0.9054806074581591,2.438957101885724,training-split system mean
train_test_70_15_15,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.9697556331883298,0.003227256654639077,0.9665283765336907,0.96917364231994,0.5670816031669434,3.3934536764048757,training-split system mean
