system,quantity,n,mean,standard_deviation,minimum,q05,median,q95,maximum
Phenalenyl,|t_FO| (eV),252,0.3183295727853864,0.31108044778253,0.0004893135912893,0.005707047748878845,0.23456364120909734,0.8827084299802433,1.4650493462704834
Phenalenyl,S_AB,252,-0.0051928223213835,0.058189653104945616,-0.1779264107154557,-0.10002144644671859,1.570463489681988e-05,0.09694656847506561,0.1797842129646943
Phenalenyl,Site-energy mismatch (eV),252,0.06156295385757008,0.10048685376551737,0.0,0.001118387974709655,0.0218235317692826,0.34603223262779376,0.4022659228744411
Phenalenyl,Two-state splitting (eV),252,0.6753880157268517,0.5915840142327524,0.0079196307532022,0.06697519969096359,0.46934242251760416,1.7654310058165787,2.930098750124325
Olympicenyl,|t_FO| (eV),550,0.26593052494872754,0.2913769135646375,0.0001147002914659,0.008537893841175852,0.17642293893992175,0.8954918531099396,1.4364329532905238
Olympicenyl,S_AB,550,-0.00012179590142703115,0.04650800781379094,-0.1402910815745799,-0.0801786291426165,-0.00048562363264365,0.0774331411941643,0.138920867759845
Olympicenyl,Site-energy mismatch (eV),550,0.051710242560480464,0.08512541320155093,2.721138624601521e-05,0.0009523985186097,0.0217418976105442,0.2430602653650385,0.4849069029035062
Olympicenyl,Two-state splitting (eV),550,0.55629842305479,0.5682375927730244,0.0023349453209889,0.04426006153250792,0.39897578732365585,1.7909959950819274,2.87633085576545
Fluorenyl,|t_FO| (eV),367,0.1659694015047722,0.19531028062452882,6.803254585339463e-07,0.0024357048181452303,0.0689866338560661,0.5520849220078704,1.0689800948524957
Fluorenyl,S_AB,367,0.0005664905811783672,0.03384050005225048,-0.135987481936162,-0.05934241019500762,1.8883130144886183e-05,0.06024275804001327,0.0914466781257744
Fluorenyl,Site-energy mismatch (eV),367,0.14859707985227702,0.1422794560706024,0.0001632683174753,0.00259596624786697,0.0920016968976853,0.4132566017791954,0.533315959035119
Fluorenyl,Two-state splitting (eV),367,0.43224970908425286,0.3436745420362801,0.0008163487080487,0.03605379964845693,0.3536073262485607,1.1105936858254488,2.1384123733837126
CPBP,|t_FO| (eV),794,0.21829943965462809,0.1921714428546984,0.0004503805194138,0.0121964456361161,0.1798158339480141,0.6288461050866926,1.068842142544893
CPBP,S_AB,794,0.0006780959266403296,0.037693113893989286,-0.1016901591550078,-0.05836034716216565,-0.00023017176941755,0.059949310136679895,0.101249962229581
CPBP,Site-energy mismatch (eV),794,0.025456697359596766,0.032321849830684285,0.0,0.0007619188148876,0.01453088025535735,0.08540973857959483,0.2796242050637729
CPBP,Two-state splitting (eV),794,0.4419897067513469,0.38035867310870264,0.0037066796282051,0.03877638487024471,0.3624096516734525,1.2578332246038122,2.1377479065277964
Phenalenyl-olympicenyl,|t_FO| (eV),638,0.19283723150637141,0.21491271239578583,2.2618152432431385e-05,0.003213062311906505,0.0992406225264113,0.6203455647593645,1.2762447588734842
Phenalenyl-olympicenyl,S_AB,638,-0.002086126115262961,0.037074440511619386,-0.1439931267648625,-0.06555065010156128,-0.0006179054249871,0.0602647886630705,0.1346789101242673
Phenalenyl-olympicenyl,Site-energy mismatch (eV),638,0.08971325343525827,0.08745332422608965,5.442277249127516e-05,0.0063946757678067,0.06337531856690595,0.2621572162324728,0.5676567284775554
Phenalenyl-olympicenyl,Two-state splitting (eV),638,0.42867472381035554,0.40668606692364323,0.0069716220752921,0.049904800115329,0.26688606163907447,1.2410715726690733,2.554356538927593
