system,n,min,p5,median,mean,p95,max
CPBP,793,0.12119,0.5910864,1.299549,1.203421156368222,1.3740684,1.399456
fluorenyl,367,0.0,0.6234491,1.068609,0.9928735258855587,1.0724057,1.075992
olympicenyl,532,0.0,0.3911092500000001,1.15265,1.035432629699248,1.18620075,1.189109
phenalenyl,252,0.0,5.500000000000007e-07,1.1031325,0.910476503968254,1.1656166000000001,1.170848
phenalenyl_olympicenyl,638,0.0,0.515212,1.1621644999999998,1.050270354231975,1.1759449499999999,1.178273
