target,model_family,importance_type,feature,importance,best_model,best_feature_group
target_frontier_gap_ev,extra_trees,extra_trees_impurity,n_interfragment_c_contacts_4p0,0.012259726729636803,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,n_interfragment_c_contacts_3p4,0.01124966105745116,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,stack_plane_normal_angle_deg,0.01016677362893015,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,contact_region_bla_mean,0.009965391798756006,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,n_interfragment_c_contacts_3p6,0.00902216437925771,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,stack_interplane_distance,0.006105894509835864,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,mean_top10_closest_c_distances,0.005095279735757521,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,stack_lateral_slip,0.004885387467127713,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,contact_min_cc_distance,0.004520252901827138,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,projected_pi_overlap_fraction_min,0.004107644875260462,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,contact_density_3p6_per_overlap_area,0.0022348965836430485,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,delta_contact_atoms_3p4,0.00222740834496562,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,delta_overlap_fraction,0.0021579500731865064,extra_trees,core15_plus_asymmetry19
target_frontier_gap_ev,extra_trees,extra_trees_impurity,delta_contact_region_bla,0.0014475660924031743,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,mean_top10_closest_c_distances,0.3498227659936973,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,contact_min_cc_distance,0.1895287186521924,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,n_interfragment_c_contacts_3p4,0.1520073669486476,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,projected_pi_overlap_fraction_min,0.060496577544759574,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,stack_lateral_slip,0.03498158330069098,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,contact_interfragment_distance_std,0.029462627976014975,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,pi_projected_area_mean,0.028760100296829072,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,stack_interplane_distance,0.02847967953977187,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,n_interfragment_c_contacts_3p6,0.023275629796264873,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,contact_density_3p6_per_overlap_area,0.019037739337814264,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,projected_pi_overlap_area,0.017691598882712174,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,n_interfragment_c_contacts_4p0,0.01563791950559831,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,bla_fragment_mean,0.013566794683299027,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,stack_plane_normal_angle_deg,0.009588669599936962,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,contact_region_bla_mean,0.007872414565647608,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,delta_overlap_fraction,0.006150701728915831,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,delta_contact_atoms_3p4,0.005625723902011524,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,pi_projected_area_ratio_min_over_max,0.004344816806335564,extra_trees,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees_impurity,delta_contact_region_bla,0.0036685709388599593,extra_trees,core15_plus_asymmetry19
