target,model_family,importance_type,feature,importance,importance_std,best_model,best_feature_group
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,n_interfragment_c_contacts_3p6,0.8679898757398433,0.019884918621426273,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,projected_pi_overlap_fraction_min,0.7939784522389902,0.020355251439891472,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,contact_min_cc_distance,0.5711620041347701,0.01688371287866825,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,pi_projected_area_ratio_min_over_max,0.558491322176273,0.018698031527228546,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,contact_region_bla_mean,0.5224053579118431,0.008754393863813999,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,stack_plane_normal_angle_deg,0.4876835456305562,0.013394963893191015,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,delta_overlap_fraction,0.36984368666063455,0.010246436306771533,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,delta_contact_region_bla,0.21247233606331775,0.008832656329049648,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,delta_contact_atoms_3p4,0.17851308663458557,0.00639643056958468,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_interaction_energy_kcal_mol,mlp,permutation_neg_mae_drop,contact_density_3p6_per_overlap_area,0.008197409984677467,0.0017039794877754737,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,pi_projected_area_mean,0.1968789301399077,0.0032171318802512385,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,projected_pi_overlap_area,0.06987377650918826,0.0019176694065532085,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,stack_plane_normal_angle_deg,0.06068927394475332,0.0013405616296654217,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,projected_pi_overlap_fraction_min,0.056901929099219185,0.0015095694257606482,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,n_interfragment_c_contacts_4p0,0.05079293155258362,0.0013390205175367622,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,bla_fragment_mean,0.04258430358356159,0.0010471782295746396,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,n_interfragment_c_contacts_3p4,0.0368739663121976,0.0008765281125098293,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,mean_top10_closest_c_distances,0.027677541456682053,0.0007305656969954542,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,n_interfragment_c_contacts_3p6,0.02673546713641155,0.0008979245625401598,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,pi_projected_area_ratio_min_over_max,0.02553150172940889,0.0008205225289572517,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,stack_lateral_slip,0.025258712617789336,0.0005765013139302184,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,contact_min_cc_distance,0.024239042755317266,0.0006253514572897257,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,stack_interplane_distance,0.02170413096034697,0.000602222304235431,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,contact_interfragment_distance_std,0.020771552199122297,0.0006727555106897341,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,contact_region_bla_mean,0.019750970099838578,0.0004934598798234714,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,delta_overlap_fraction,0.01666325855249104,0.00044549838118639783,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,delta_contact_atoms_3p4,0.01318887516835536,0.0005192024092230098,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
