target,n_estimators,min_samples_leaf,n_folds,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_fit_seconds,sd_fit_seconds,se_fit_seconds,mean_nodes_total,sd_nodes_total,se_nodes_total,mean_leaves_total,sd_leaves_total,se_leaves_total,mean_mean_tree_depth,sd_mean_tree_depth,se_mean_tree_depth
target_fodft_coupling_abs_ev,1000,1,5,0.9424748524722781,0.00872967551515062,0.0039040295746784557,0.035544901289436645,0.0017072033660955198,0.0007634845556012084,0.05266271092002124,0.004303015155305778,0.0019243668790951069,7.218633275991306,0.23984499105808163,0.10726194081373994,3509400.0,894.4271909999159,400.0,1755200.0,447.21359549995793,200.0,28.090999999999998,0.13280436739806467,0.05939191864218589
target_fodft_coupling_abs_ev,500,1,5,0.942341735873498,0.009021024770260335,0.004034324922602307,0.03555343409161844,0.0018279193406270477,0.0008174703806057344,0.05271611158130425,0.0044368996628352505,0.0019842418510891036,3.5464681867975743,0.011213197179139697,0.00501469422753305,1754700.0,447.21359549995793,200.0,877600.0,223.60679774997897,100.0,28.1424,0.11796101050770917,0.052753767637960934
target_fodft_coupling_abs_ev,750,1,5,0.9424926969965599,0.00860566915804437,0.003848572245852119,0.035580059736294904,0.001737954028569802,0.0007772366699303377,0.05265707726453071,0.004257005444426679,0.0019037907108649514,5.322734020627104,0.03936462728949822,0.017604396505652264,2632050.0,670.820393249937,300.0,1316400.0,335.4101966249685,150.0,28.0968,0.1284180672646956,0.05743030558859996
target_fodft_coupling_abs_ev,300,1,5,0.9420609902259999,0.008765102760517686,0.003919873120457721,0.035651251564286425,0.00179603978460663,0.000803213409734901,0.05285261285330245,0.004310965604705137,0.0019279224281568345,2.138107929006219,0.011112404717898882,0.004969618468542255,1052820.0,268.32815729997475,119.99999999999999,526560.0,134.16407864998737,59.99999999999999,28.166666666666668,0.10643203360726351,0.04759785242587667
target_fodft_coupling_abs_ev,200,1,5,0.9418839452255068,0.008749319709254227,0.0039128147253542295,0.0357905253619587,0.0017465906254777609,0.0007810990734864299,0.05293410261800964,0.004295327215316378,0.0019209287278104594,1.4363028242019937,0.017730509270712187,0.007929324801000535,701880.0,178.88543819998318,80.0,351040.0,89.44271909999159,40.0,28.167999999999996,0.12075802250782489,0.054004629431189215
target_fodft_coupling_abs_ev,100,1,5,0.9403452065959325,0.008904451241302068,0.003982191655576761,0.03615984193185173,0.0017983406494477075,0.0008042423877732387,0.053633369790998066,0.004364314624466694,0.0019517808351007988,0.7175375492079183,0.004384280295327032,0.0019607097545528192,350940.0,89.44271909999159,40.0,175520.0,44.721359549995796,20.0,28.086000000000002,0.2294122926087432,0.10259629622944447
target_fodft_coupling_abs_ev,500,2,5,0.9375748110999667,0.010827246710047679,0.004842091930565513,0.03674190933116726,0.001904306343281936,0.0008516316867124917,0.054828873601461305,0.0050755928867323675,0.0022698741441695928,2.246933601796627,0.013741235507775288,0.006145267338043876,759120.8,344.61746908710245,154.1176174225387,379810.4,172.30873454355122,77.05880871126935,23.416800000000002,0.2851196240177098,0.12750937220455616
target_fodft_coupling_abs_ev,50,1,5,0.9384922893723828,0.0098601898416029,0.004409610951375394,0.036742157791403336,0.0018007843485923882,0.0008053352432540515,0.05444683816906067,0.004747590550808984,0.002123187040188911,0.3625192757928744,0.002931362870795679,0.0013109453291636141,175470.0,44.721359549995796,20.0,87760.0,22.360679774997898,10.0,27.8,0.3069201850644554,0.13725887949418758
target_fodft_coupling_abs_ev,750,2,5,0.9374464129556321,0.0109894053937801,0.004914611498559029,0.03675117757998689,0.0018252064615258664,0.0008162571441887383,0.05488062531279281,0.005105128271092579,0.002283082769603796,3.387825596611947,0.09121854739425095,0.040794174556466285,1138809.2,570.0624527189982,254.93967913998796,569779.6,285.0312263594991,127.46983956999398,23.395466666666664,0.25320979443931446,0.11323886258701107
target_fodft_coupling_abs_ev,1000,2,5,0.9374451197969995,0.011006316149279266,0.004922174218328432,0.03675159088024314,0.0018341733374943865,0.0008202672530310224,0.05488152510106624,0.005117528503999454,0.0022886283223471165,4.445374255231582,0.025128538251001916,0.011237823940888791,1518551.2,902.0439013706595,403.40629643078205,759775.6,451.0219506853297,201.70314821539102,23.373600000000003,0.23181522814517574,0.10367092167044709
target_fodft_coupling_abs_ev,300,2,5,0.9374360244011019,0.010363892320032132,0.004634873547815971,0.03679675374275032,0.0017923195527977324,0.0008015496714915505,0.05490227674006891,0.0048535860915221865,0.0021705896870582247,1.3447463656309993,0.0077570498593186,0.003469058158058314,455462.8,231.54524395892912,103.5501810717876,227881.4,115.77262197946456,51.7750905358938,23.480666666666668,0.2977265710532241,0.13314737031658605
target_fodft_coupling_abs_ev,200,2,5,0.937492942527627,0.010225025292916723,0.004572770325323298,0.03688166762763283,0.0018284932403159035,0.0008177270363490439,0.05487938833452306,0.004792239248570498,0.0021431545448492286,0.8936547498451546,0.0026608246393281464,0.001189956953948819,303645.6,149.648922481921,66.92503268583438,151922.8,74.8244612409605,33.46251634291719,23.455,0.34229008165589586,0.15307677812130738
target_fodft_coupling_abs_ev,100,2,5,0.9372332186910978,0.01049441759927176,0.00469324622724836,0.03691773371796425,0.0018734658761998312,0.0008378394105418056,0.054986315890784544,0.00488846801938912,0.0021861893594375664,0.45192555377725513,0.0019897509027094577,0.0008898436553499836,151835.2,77.73802158532207,34.76550014022522,75967.6,38.86901079266104,17.38275007011261,23.474,0.30883652633715436,0.13811589336495625
target_fodft_coupling_abs_ev,50,2,5,0.9365851514192723,0.009714419679165719,0.004344420552915249,0.03707351508258792,0.0016769232984558881,0.0007499428976801068,0.05528847940545414,0.004494897332816874,0.002010179197612205,0.22992440641392023,0.0024572707260289645,0.0010989248765042052,75911.6,85.74846937409437,38.34788129740677,37980.8,42.874234687047185,19.173940648703386,23.392,0.20957099035887505,0.09372299611087953
