target,n_estimators,min_samples_leaf,n_folds,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_fit_seconds,sd_fit_seconds,se_fit_seconds,mean_nodes_total,sd_nodes_total,se_nodes_total,mean_leaves_total,sd_leaves_total,se_leaves_total,mean_mean_tree_depth,sd_mean_tree_depth,se_mean_tree_depth,best_cv_n_estimators,best_cv_min_samples_leaf,best_cv_mean_mae,best_cv_se_mae,one_se_mae_threshold,n_eligible_configurations,selection_rule
target_fodft_coupling_abs_ev,100,1,5,0.9403452065959325,0.008904451241302068,0.003982191655576761,0.03615984193185173,0.0017983406494477075,0.0008042423877732387,0.053633369790998066,0.004364314624466694,0.0019517808351007988,0.7175375492079183,0.004384280295327032,0.0019607097545528192,350940.0,89.44271909999159,40.0,175520.0,44.721359549995796,20.0,28.086000000000002,0.2294122926087432,0.10259629622944447,1000,1,0.035544901289436645,0.0007634845556012084,0.03630838584503785,6,"largest leaf size, then fewest trees, among mean MAE <= best mean MAE + SE(best)"
target_frontier_gap_ev,100,1,5,0.9793438193486816,0.001975871767767433,0.0008836367175101316,0.035951772274055785,0.0011893073211205938,0.0005318744032327638,0.052353415971450865,0.002907423875604576,0.0013002394850515448,0.7164358852198347,0.013388229646397841,0.005987398317544709,350305.2,203.30568117984308,90.92106466600575,175202.6,101.65284058992154,45.460532333002874,29.894,0.5153930538918817,0.23049078072669202,500,1,0.03568232899470565,0.00040903753385525705,0.03609136652856091,6,"largest leaf size, then fewest trees, among mean MAE <= best mean MAE + SE(best)"
target_interaction_energy_kcal_mol,50,1,5,0.9457349008948561,0.009024148076613803,0.004035721707666489,0.7645859539529944,0.02863332000671698,0.012805209991304781,1.131180661891706,0.07919714095533358,0.035418038159951704,0.3563913453835994,0.0034331466544350623,0.0015353498592085557,175470.0,44.721359549995796,20.0,87760.0,22.360679774997898,10.0,27.583999999999996,0.36204972034238647,0.1619135571840729,1000,1,0.7551230653445249,0.014786725392596968,0.7699097907371218,7,"largest leaf size, then fewest trees, among mean MAE <= best mean MAE + SE(best)"
target_somo_somo_elst_corrected_signed_kcal_mol,100,1,5,0.9632669438783218,0.006948233852184858,0.0031073446434101135,0.5183786269857078,0.022552269674756136,0.010085681607932358,0.959828106622054,0.07867461515789556,0.03518435751933796,0.7263650954002514,0.0018342862492549798,0.0008203177487054516,350940.0,89.44271909999159,40.0,175520.0,44.721359549995796,20.0,32.11,0.32619012860600216,0.1458766602304839,200,1,0.5159674605737454,0.010894690592856396,0.5268621511666018,6,"largest leaf size, then fewest trees, among mean MAE <= best mean MAE + SE(best)"
